"siteid","sitename","area","notes","description","elev"
10364,"Lost Lake",NA,NA,NA,452
10368,"McMurray Lake",NA,NA,NA,1779
10370,"Moraine Bog",NA,NA,NA,810
10385,"Nutella Lake",NA,NA,NA,802
10386,"Swampbuggy Lake",NA,NA,NA,783
10399,"Sheep Mountain Bog",NA,NA,NA,1923
10407,"Testalinden Lake",NA,NA,NA,1802
10411,"Tumalo Lake",NA,NA,NA,1544
10417,"Wildhorse Lake",NA,NA,NA,2569
10421,"Woods Lake",NA,NA,NA,9
10442,"Laguna Chorreras",NA,NA,NA,3664
10449,"Stoneman Lake",NA,NA,NA,2048
10455,"Ongivinuk Lake",NA,NA,NA,174
10461,"Pigeon Marsh",NA,NA,NA,631
10464,"Clear Lake",NA,NA,NA,405
10473,"Little Willow Lake",NA,NA,NA,1837
10476,"Cedar Lake",NA,NA,NA,1743
10478,"CA-HUM-558 (Pilot Ridge)",NA,NA,NA,1308
10480,"Preston Lake",NA,NA,NA,266
10482,"Tule Lake",NA,NA,NA,1342
10490,"Ladies View",NA,NA,NA,256
10492,"Lough Inchiquin",NA,NA,NA,15
10495,"Juan Perez Sound",NA,NA,NA,-37
10507,"Mission Cross Bog",NA,NA,NA,2420
10509,"Awl Site midden",NA,NA,NA,1017
10512,"No Name East midden",NA,NA,NA,1207
10513,"No Name West midden",NA,NA,NA,1207
10525,"Glaisín na Marbh",NA,NA,NA,138
10527,"Laguna Negra",NA,NA,NA,1752
10528,"Laguna Mesagosa",NA,NA,NA,1618
10531,"Black Mountain Lake",NA,NA,NA,3408
10532,"Sky Pond",NA,NA,NA,3319
11560,"Lake Cleveland",NA,NA,NA,2520
11577,"Glendalough Valley",NA,NA,NA,159
11578,"Borheen Lough",NA,NA,NA,470
11581,"Cuckoo",NA,NA,NA,43
11582,"Diheen",NA,NA,NA,620
11585,"Windmill Lake",NA,NA,NA,626
11587,"Circle Lake",NA,NA,NA,409
11590,"Grizzly Lake",NA,NA,NA,727
11591,"Panthertown Creek Bog",NA,NA,NA,1116
11592,"Laguna Pallcacocha",NA,NA,NA,4041
11594,"Paso Garibaldi",NA,NA,NA,310
11603,"Wiener Lake",NA,NA,NA,583
11605,"Fishblue (Blue) Lake",NA,NA,NA,362
11609,"Little Swift Lake",NA,NA,NA,572
11617,"Cumbres Bog",NA,NA,NA,3055
11643,"McCall Glacier",NA,NA,NA,2316
11752,"Runway Ruin",NA,NA,NA,1043
11753,"Monitor",NA,NA,NA,1043
11754,"Columbus",NA,NA,NA,1043
11756,"Multigrade",NA,NA,NA,1043
11757,"Tinhorn Wash",NA,NA,NA,1043
11778,"East Ruin",NA,NA,NA,1043
11783,"Refugia Ruin",NA,NA,NA,1043
11799,"Cordón Serrucho Norte wetland",NA,NA,NA,919
11877,"Lake Consuelo",NA,NA,NA,1392
11924,"Blue Lakes",NA,NA,NA,2434
11925,"NEL03",NA,NA,NA,2063
11934,"Pyatts Lake",NA,NA,NA,1080
13042,"Panther Potholes",NA,NA,NA,1033
13289,"Laguna del Maule",NA,NA,NA,2179
13335,"Styggtjärnen",NA,NA,NA,711
13375,"Cooley Lake",NA,NA,NA,1524
13376,"Gerry Lake",NA,NA,NA,911
13377,"Crocker Lake",NA,NA,NA,54
13383,"Lake Flåfattjønna",NA,NA,NA,1128
13386,"Älbi Flue",NA,NA,NA,1829
13388,"Dalmutladdo",NA,NA,NA,569
13389,"Barheivatn",NA,NA,NA,311
13390,"Trettetjørn",NA,NA,NA,781
13391,"Brurskardtjørni",NA,NA,NA,1398
13392,"Vestre Øykjamyrtjørn",NA,NA,NA,528
13475,"Vaifanaura’amo’ora",NA,NA,NA,610
13477,"Dragonfly Lake",NA,NA,NA,752
13479,"Haircut Lake",NA,NA,NA,859
