"siteid","sitename","area","notes","description","elev"
27413,"Royal Basin Meadow Ridge",NA,NA,NA,1772
27424,"Lake Tilla",NA,NA,NA,534
27426,"Bassa Nera",NA,NA,NA,1886
27494,"Anteojos Valley",NA,NA,NA,3966
27508,"Ndurumu Swamp",NA,NA,NA,1407
27510,"Johns Lake",NA,NA,NA,1015
27511,"Kintla Lake Bog",NA,NA,NA,1245
27512,"Black Lake",NA,NA,NA,986
27550,"Doda Pilii",NA,NA,NA,1041
27552,"Ahakagyezi Swamp",NA,NA,NA,1837
27553,"Al Jourd",NA,NA,NA,2112
27556,"Aansser peat bog",NA,NA,NA,1301
27557,"Bab El Karn",NA,NA,NA,1203
27558,"Dayet M'Had",NA,NA,NA,777
27560,"Hybkaňa",NA,NA,NA,848
27561,"Ras El Ma",NA,NA,NA,1620
27564,"Estanilles",NA,NA,NA,2271
27569,"Lago Trifoglietti",NA,NA,NA,1066
27676,"Shum Laka",NA,NA,NA,1399
27694,"Dastín",NA,NA,NA,379
27697,"Laboot Swamp",NA,NA,NA,2685
27698,"Coropuna peat bog",NA,NA,NA,4426
27757,"Lake Kimili",NA,NA,NA,4154
27813,"Muchoya Swamp",NA,NA,NA,2399
27841,"Hayla Cave",NA,NA,NA,2164
27842,"Tate Vondo",NA,NA,NA,1200
27896,"Foster Lake",NA,NA,NA,2031
27897,"Buck Lake",NA,NA,NA,2119
27898,"Buffalo Ford Pond",NA,NA,NA,1925
27899,"Middle Rainbow Lake",NA,NA,NA,1793
27900,"Big Trumpeter Lake",NA,NA,NA,1864
27901,"Big Slide Lake",NA,NA,NA,1741
27902,"Floating Island Lake",NA,NA,NA,2011
28025,"Colle Gnifetti",NA,NA,NA,4463
28032,"Katenga Swamp",NA,NA,NA,2119
28073,"Pla de l'Estany",NA,NA,NA,507
28074,"Toskaljarvi",NA,NA,NA,751
28075,"Armeña",NA,NA,NA,2221
28076,"Marboré Lake",NA,NA,NA,2580
28084,"Basa de la Mora",NA,NA,NA,1905
28085,"El Portalet",NA,NA,NA,1816
28094,"Lago Verdarolo",NA,NA,NA,1392
28099,"Matupi cave",NA,NA,NA,885
28119,"Birkat Ram",NA,NA,NA,224
28121,"Lago di Nemi",NA,NA,NA,324
28139,"Båtvika",NA,NA,NA,501
28140,"Borgsletta",NA,NA,NA,97
28141,"Hollendarhaugen",NA,NA,NA,6
28145,"Alter Rachelsee",NA,NA,NA,1059
28146,"Rachelsee",NA,NA,NA,1072
28147,"Biogradsko Forest Hollow #1",NA,NA,NA,1202
28152,"Club Lake",NA,NA,NA,1952
28154,"Nar Gölü",NA,NA,NA,1377
28156,"Garba Guracha Lake",NA,NA,NA,3990
28159,"Suppitassu Gölü",NA,NA,NA,1876
28160,"Prokosko Jezero",NA,NA,NA,1638
28174,"Toconce",NA,NA,NA,3486
28177,"Sjuhollendarbukta",NA,NA,NA,18
28179,"Stangenfilz",NA,NA,NA,1161
28182,"Schluchsee",NA,NA,NA,936
28184,"Schluchsee",NA,NA,NA,936
28191,"Pakhuis Pass",NA,NA,NA,487
28205,"Telefomin (Upper Sepik)",NA,NA,NA,1744
28210,"La Baña C",NA,NA,NA,1407
28211,"La Baña D",NA,NA,NA,1729
28212,"La Baña E",NA,NA,NA,1997
28214,"Fuglebergsletta",NA,NA,NA,2
28215,"Agardhdalen",NA,NA,NA,7
28218,"Laguna Miscanti",NA,NA,NA,4082
28220,"Tamsaa Swamp",NA,NA,NA,3032
28224,"Mubwindi swamp",NA,NA,NA,2104
28232,"Sirunki Wabag",NA,NA,NA,2567
28250,"Les Amburnex",NA,NA,NA,1377
28253,"Le Moé",NA,NA,NA,1316
28255,"Sèche de Gimel",NA,NA,NA,1327
28256,"Wengerkopf",NA,NA,NA,1684
28258,"Rosaninsee",NA,NA,NA,2208
28259,"Lej da la Tscheppa",NA,NA,NA,2632
28260,"Egelsee-Moor",NA,NA,NA,697
28265,"Lago di Alice",NA,NA,NA,584
28266,"Torbiera di Alice",NA,NA,NA,566
28267,"Faulenseemoos",NA,NA,NA,659
28268,"Laguna El Sosneado",NA,NA,NA,2095
28271,"Bosc dels Estanyons",NA,NA,NA,2174
28274,"Anderson Fen",NA,NA,NA,547
28278,"Planell de Perafita",NA,NA,NA,2032
28280,"Serra Mitjana fen",NA,NA,NA,2407
28283,"Bödmerenwald",NA,NA,NA,1557
28288,"Lake Diamond",NA,NA,NA,6
28292,"Koitoboss Bog",NA,NA,NA,3896
28296,"Dega Sala swamp",NA,NA,NA,3303
28299,"Base Section",NA,NA,NA,1809
28300,"Eksteenfontein",NA,NA,NA,695
28309,"Mubwindi swamp II",NA,NA,NA,2157
28315,"Voordrag",NA,NA,NA,944
28317,"Lake Selina",NA,NA,NA,514
28318,"Anouwe 2",NA,NA,NA,103
28326,"Sacred Lake",NA,NA,NA,2335
28333,"La Grande Tsa",NA,NA,NA,1536
28334,"Maloja Riegel",NA,NA,NA,2083
28344,"Crescent Island Crater Lake",NA,NA,NA,1554
28349,"Kamiranzovu swamp",NA,NA,NA,1667
28364,"Ellbachsee",NA,NA,NA,770
28365,"Lake Kournas",NA,NA,NA,38
28371,"Chafariz do Rei",NA,NA,NA,1870
28373,"Charca dos Cões",NA,NA,NA,1843
28374,"Fraga do Vale Mourisco",NA,NA,NA,1364
28375,"Lagoa Clareza 1",NA,NA,NA,1804
28376,"Lagoa Comprida 1",NA,NA,NA,1607
28377,"Lagoa das Salgadeiras",NA,NA,NA,1869
28378,"Lagoacho das Favas",NA,NA,NA,1643
28379,"Canariza",NA,NA,NA,1623
28380,"Nave de Santo António",NA,NA,NA,1662
28381,"Quinta da Alagoa",NA,NA,NA,648
28383,"Torre 1",NA,NA,NA,1876
28388,"Lake Neor",NA,NA,NA,2485
28390,"Musisi-Karashoma",NA,NA,NA,2328
28391,"Rugezi",NA,NA,NA,2188
28392,"Mukukwe",NA,NA,NA,1586
28396,"Pico Bog",NA,NA,NA,874
28397,"Lagoa do Caveiro",NA,NA,NA,953
28409,"Djupdalsbekken",NA,NA,NA,642
28411,"Lake Ristjønna",NA,NA,NA,1290
28412,"Lake Topptjønna",NA,NA,NA,1325
28431,"Lake Heimtjønna",NA,NA,NA,1211
28440,"Lake Store Finnsjøen",NA,NA,NA,1259
28457,"Reinskaret bog",NA,NA,NA,908
28460,"Black Swamp",NA,NA,NA,1509
28488,"Tidal River",NA,NA,NA,14
28500,"Arbarrain mire",NA,NA,NA,1020
28501,"Sotombo bog",NA,NA,NA,1300
28502,"Zalama bog",NA,NA,NA,1311
28522,"Kalwira",NA,NA,NA,1918
28523,"Lake Tritrivakely I",NA,NA,NA,1749
28701,"Palm Terrace",NA,NA,NA,-317
28796,"Lake Emakat",NA,NA,NA,2175
28860,"Lake Tibenatus",NA,NA,NA,568
28940,"Lago del Pesce",NA,NA,NA,1208
28962,"Gros Fumé",NA,NA,NA,1369
28963,"Pierre-sur-Haute",NA,NA,NA,1600
28964,"Source Captée",NA,NA,NA,1581
28965,"Colleigne",NA,NA,NA,1495
28966,"Le Petit Char",NA,NA,NA,1600
28967,"Gourds des Aillères",NA,NA,NA,1339
28968,"Gourds des Aillères",NA,NA,NA,1336
28969,"Le Cratère",NA,NA,NA,1549
29035,"Cobb Valley CV1",NA,NA,NA,762
29037,"Aluaipugua",NA,NA,NA,2770
29063,"Rooiberg Shelter I",NA,NA,NA,1804
29065,"Cobb Valley CV3",NA,NA,NA,762
29068,"Sulsseewli",NA,NA,NA,1930
