"siteid","sitename","lat","long","area","notes","description","elev"
506,"Crates Lake",49.18333,-81.26667,NA,NA,NA,259
507,"Crawford Lake",43.468034,-79.94889,NA,NA,NA,285
508,"Crazy Pond",47.181972,-95.735366,NA,NA,NA,456
509,"Creditview Wetland",43.6,-79.6,NA,NA,NA,128
510,"Crider's Pond",39.96667,-77.55,NA,NA,NA,252
511,"Cristal Lake",52.11667,-90.08333,NA,NA,NA,359
512,"Crowfoot Lake",51.65,-116.41667,NA,NA,NA,1932
513,"Crowsnest Lake",68.33333,-146.48333,NA,NA,NA,965
516,"Voros-mocsar",46.47722,19.19083,NA,NA,NA,88
517,"Starniki",50.26667,26.01667,NA,NA,NA,243
518,"Cub Lake",44.7,-84.95833,NA,NA,NA,366
519,"Cub Creek Pond",44.50544,-110.2466,NA,NA,NA,2505
520,"Cub Lake",44.125,-111.18333,NA,NA,NA,1829
521,"Cueva Haichol",-38.58333,-70.66667,NA,NA,NA,1170
522,"Cueva Milodon",-51.58333,-72.63333,NA,NA,NA,59
523,"Cumbre Unduavi",-16.35,-68.04167,NA,NA,NA,4628
524,"Cummins Pond",48.4075,-89.34667,NA,NA,NA,239
525,"Cupola Pond",36.799032,-91.090148,NA,NA,NA,243
526,"Lagoa da Curuça",-0.76667,-47.85,NA,NA,NA,19
527,"Cycloid Lake",55.26667,-105.26667,NA,NA,NA,382
528,"Cygnet Lake Fen",44.65,-110.6,NA,NA,NA,2543
529,"Hershop Bog",29.58333,-97.60833,NA,NA,NA,106
530,"Dalton Lake",46.17389,-95.91528,NA,NA,NA,418
531,"Dark Lake",45.275,-91.475,NA,NA,NA,342
532,"Lagoa das Patas",0.26667,-66.68333,NA,NA,NA,197
533,"Daumont",54.88333,-69.4,NA,NA,NA,591
534,"Davis Lake",46.59167,-122.25,NA,NA,NA,450
558,"Mohawk Pond",41.810798,-73.293048,NA,NA,NA,360
562,"Tom Swamp",42.51667,-72.2125,NA,NA,NA,230
563,"West Sand Lake Peat Bog",42.63333,-73.6,NA,NA,NA,181
655,"Toadlena Lake [Dead Man Lake]",36.236518,-108.953646,NA,NA,NA,2758
656,"Decoy Lake",43.23333,-80.36667,NA,NA,NA,272
657,"Deer Lake Bog",44.03333,-71.83333,NA,NA,NA,1264
658,"Delorme 1",54.41889,-69.91889,NA,NA,NA,549
659,"Delorme 2",54.42361,-69.92972,NA,NA,NA,533
660,"Lac Demain",62.05,-118.7,NA,NA,NA,718
661,"Demont Lake",43.48,-85,NA,NA,NA,274
662,"Demyanskoye Exposure",59.5,69.5,NA,NA,NA,27
663,"Denton Lake",45.8532,-89.313518,NA,NA,NA,505
664,"Derput",57.03333,124.11667,NA,NA,NA,755
665,"Devils Lake, Main Bay",48.022914,-98.962028,NA,NA,NA,435
666,"Devils Lake",43.4159,-89.73334,NA,NA,NA,293
667,"Devon Island Glacier",75.35,-82.5,NA,NA,NA,1975
668,"Diana Cordeau",60.93889,-69.97194,NA,NA,NA,2
669,"Diana 375",60.9875,-69.95833,NA,NA,NA,86
670,"Diana 500",60.97889,-69.99194,NA,NA,NA,153
671,"Lac du Diable",48.91083,-66.125,NA,NA,NA,485
672,"Kirgirlakh Stream, Berelyekh River Basin",62.66667,147.98333,NA,NA,NA,715
673,"Dinkey Meadow",37,-119.08333,NA,NA,NA,2070
679,"Great Dismal Swamp",36.58333,-76.45,NA,NA,NA,6
680,"Disterhaft Farm Bog",43.91694,-89.16694,NA,NA,NA,245
681,"Divide Lake",43.93333,-110.23333,NA,NA,NA,2623
695,"Dlinnoye Lake",67.75655,-178.84377,NA,NA,NA,257
696,"Dikikh Olyenyeii Lake Exposure",67.743184,-178.838946,NA,NA,NA,267
697,"Dogfish Lake",48.18333,-92.18333,NA,NA,NA,401
699,"Dome Creek Meadow",40.02417,-107.05083,NA,NA,NA,3146
700,"Domsvatnet",70.325334,31.024642,NA,NA,NA,107
701,"Donut Pond Bog",41.275,-70.05833,NA,NA,NA,15
702,"Dosquet",46.45,-71.5,NA,NA,NA,133
703,"Dovjok Swamp",48.75,28.25,NA,NA,NA,276
728,"Heart Lake",44.181964,-73.970216,NA,NA,NA,660
745,"Upper Wallface Pond",44.147978,-74.056184,NA,NA,NA,958
751,"Rockyhock Bay",36.16667,-76.68333,NA,NA,NA,5
753,"Duck Pond",41.93248,-70.00076,NA,NA,NA,1
